ID	Name	LossPerCpnMedian	LossPerCpnP16	LossPerCpnP84
0	bld-00
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	37.69	13.51	93.5109
	BI.C.01.04	0	0	2.75781
	BI.D.02.03	8282.03	4553.75	11629.4
	BI.L.01.02	8.23902	2.23743	24.6252
	BI.P.01.03	4048.74	2463.39	6169.01
	C.F.KL	59.0613	22.0096	139.692
	C.F.KZ	61.5228	17.7134	172.589
	C.S.Q	0	0	0
	E2022.001u	184.177	84.415	395.689
	E2022.020z	23.2576	13.97	36.5664
	E2022.022z	103.663	61.5499	176.652
	MEP.L.01.01	15963.2	10451.9	21217.9
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	68.3482	0	228.387
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	148.336	47.2854	281.031
