ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
0	bld-00
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	445.738	0	0	474.983	29.0605	0.159535
	B3011.011z	631.19	23438.4	47.6088	864.332	49033.3	86.7489
	BI.C.01.04	478.642	0	0	478.642	1989.56	2.93475
	BI.D.02.03	11.7616	90933	149.689	12.514	102324	167.88
	BI.L.01.02	2071.96	17849	6.5	2091.87	30699	11.163
	BI.P.01.03	135.075	546975	46.3001	135.79	589466	49.7818
	C.F.KL	904.867	51665.3	753.015	960.128	81056.9	990.732
	C.F.KZ	908.472	54608.1	750.435	955.396	97457.8	1077.4
	C.S.Q	0	0	0	0	0	0
	E2022.001u	945.01	173937	0	950.49	231690	0
	E2022.020z	1555.6	35287.3	0	1618.45	41426	0
	E2022.022z	2585.01	279959	0	2753.94	329787	0
	MEP.L.01.01	4.3863	68174.4	81.1894	4.69591	72685.8	86.5622
	MEP.M.06.06	10.125	0	0	10.1649	31.5492	0.316797
	MEP.M.06.08	2.70381	0	0	2.72633	0	0
	MEP.M.07.03	131.526	11000	3.53	135.335	15420.5	5.02539
	MEP.M.08.01	67.4465	0	0	67.7337	5447.18	2.91249
	MEP.P.01.02	2.02128	0	0	2.03359	2.81796	0.00169078
	MEP.P.02.06	13.216	0	0	14.1311	20.2979	0.0150892
	MEP.P.03.02	8.6766	0	0	9.1102	12.317	0.00754805
	MEP.P.06.01	12.2101	1820.3	0.795556	12.2263	2001.67	1.02296
