ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
0	bld-00
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	445.738	0	0	474.983	39.1282	0.193726
	B3011.011z	631.19	4301.82	13.4069	864.332	8686.71	20.6719
	BI.C.01.04	478.642	0	0	478.642	202.086	0.277076
	BI.D.02.03	11.7616	57804.9	95.0228	12.514	66601.5	109.678
	BI.L.01.02	2071.96	2847.34	1	2091.87	4494.32	1.60503
	BI.P.01.03	135.075	313546	26.5282	135.79	331176	28.0184
	C.F.KL	904.867	20619.7	324.002	960.128	32999.9	476.589
	C.F.KZ	908.472	16892.8	238.539	955.396	31938.1	417.305
	C.S.Q	0	0	0	0	0	0
	E2022.001u	945.01	38831	0	950.49	49381.8	0
	E2022.020z	1555.6	13445.7	0	1618.45	15845.7	0
	E2022.022z	2585.01	101978	0	2753.94	115265	0
	MEP.L.01.01	4.3863	46513.7	55.3936	4.69591	51548.3	61.3893
	MEP.M.06.06	10.125	0	0	10.1649	2.21092	0.0215273
	MEP.M.06.08	2.70381	0	0	2.72633	0	0
	MEP.M.07.03	131.526	0	0	135.335	2185.96	0.702533
	MEP.M.08.01	67.4465	0	0	67.7337	1021.08	0.544735
	MEP.P.01.02	2.02128	0	0	2.03359	0.694681	0.000416809
	MEP.P.02.06	13.216	0	0	14.1311	3.24758	0.00240378
	MEP.P.03.02	8.6766	0	0	9.1102	1.5615	0.000957923
	MEP.P.06.01	12.2101	865.999	0.2	12.2263	873.696	0.382888
