ID	Name	LossPerCpnMedian	LossPerCpnP16	LossPerCpnP84
0	bld-00
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	3.16112
	BI.C.01.04	0	0	0
	BI.D.02.03	2138.59	1305.23	3744.55
	BI.L.01.02	0	0	0.8159
	BI.P.01.03	722.374	309.207	1331.58
	C.F.KL	3.98545	1.02091	12.3902
	C.F.KZ	2.92798	0.548589	8.38302
	C.S.Q	0	0	0
	E2022.001u	6.66409	0	15.1791
	E2022.020z	2.35942	1.383	3.8396
	E2022.022z	10.4808	6.24933	16.4665
	MEP.L.01.01	5174.2	460.104	10153.1
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	68.8527
